,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11
0,4143,2019-05-30,Kennington Oval,London,England,South Africa,1,field,0,JJ Roy,Q de Kock,JM Bairstow,HM Amla,JE Root,AK Markram,EJG Morgan,F du Plessis,BA Stokes,HE van der Dussen,JC Buttler,JP Duminy,MM Ali,D Pretorius,CR Woakes,AL Phehlukwayo,LE Plunkett,K Rabada,JC Archer,L Ngidi,AU Rashid,Imran Tahir
1,4144,2019-05-31,Trent Bridge,Nottingham,Pakistan,West Indies,1,field,1,Imam-ul-Haq,CH Gayle,Fakhar Zaman,SD Hope,Babar Azam,DM Bravo,Haris Sohail,N Pooran,Sarfraz Ahmed,SO Hetmyer,Mohammad Hafeez,AD Russell,Imad Wasim,JO Holder,Shadab Khan,CR Brathwaite,Hasan Ali,AR Nurse,Wahab Riaz,SS Cottrell,Mohammad Amir,O Thomas
2,4145,2019-06-01,Sophia Gardens,Cardiff,New Zealand,Sri Lanka,0,field,0,MJ Guptill,HDRL Thirimanne,C Munro,FDM Karunaratne,KS Williamson,MDKJ Perera,LRPL Taylor,BKG Mendis,TWM Latham,DM de Silva,JDS Neesham,AD Mathews,C de Grandhomme,BMAJ Mendis,MJ Santner,NLTC Perera,MJ Henry,I Udana,LH Ferguson,RAS Lakmal,TA Boult,SL Malinga
3,4147,2019-06-02,Kennington Oval,London,Bangladesh,South Africa,1,field,0,Tamim Iqbal,Q de Kock,Soumya Sarkar,AK Markram,Shakib Al Hasan,F du Plessis,Mushfiqur Rahim,DA Miller,Mohammad Mithun,HE van der Dussen,Mahmudullah,JP Duminy,Mosaddek Hossain,AL Phehlukwayo,Mehedi Hasan Miraz,CH Morris,Mohammad Saifuddin,K Rabada,Mashrafe Mortaza,Imran Tahir,Mustafizur Rahman,L Ngidi
4,4148,2019-06-03,Trent Bridge,Nottingham,England,Pakistan,0,field,1,JJ Roy,Imam-ul-Haq,JM Bairstow,Fakhar Zaman,JE Root,Babar Azam,EJG Morgan,Mohammad Hafeez,BA Stokes,Sarfraz Ahmed,JC Buttler,Asif Ali,MM Ali,Shoaib Malik,CR Woakes,Wahab Riaz,JC Archer,Hasan Ali,AU Rashid,Shadab Khan,MA Wood,Mohammad Amir
5,4150,2019-06-05,The Rose Bowl,Southampton,India,South Africa,1,bat,0,S Dhawan,HM Amla,RG Sharma,Q de Kock,V Kohli,F du Plessis,KL Rahul,HE van der Dussen,MS Dhoni,DA Miller,HH Pandya,JP Duminy,KM Jadhav,AL Phehlukwayo,B Kumar,CH Morris,Kuldeep Yadav,K Rabada,YS Chahal,Imran Tahir,JJ Bumrah,T Shamsi
6,4151,2019-06-05,Kennington Oval,London,Bangladesh,New Zealand,1,field,1,Tamim Iqbal,MJ Guptill,Soumya Sarkar,C Munro,Shakib Al Hasan,KS Williamson,Mushfiqur Rahim,LRPL Taylor,Mohammad Mithun,TWM Latham,Mahmudullah,JDS Neesham,Mosaddek Hossain,C de Grandhomme,Mohammad Saifuddin,MJ Santner,Mehedi Hasan Miraz,MJ Henry,Mashrafe Mortaza,LH Ferguson,Mustafizur Rahman,TA Boult
7,4152,2019-06-06,Trent Bridge,Nottingham,Australia,West Indies,1,field,0,DA Warner,CH Gayle,AJ Finch,E Lewis,UT Khawaja,SD Hope,SPD Smith,N Pooran,GJ Maxwell,SO Hetmyer,MP Stoinis,JO Holder,AT Carey,AD Russell,NM Coulter-Nile,CR Brathwaite,PJ Cummins,AR Nurse,MA Starc,SS Cottrell,A Zampa,O Thomas
8,4153,2019-06-08,Sophia Gardens,Cardiff,England,Bangladesh,1,field,0,JJ Roy,Tamim Iqbal,JM Bairstow,Soumya Sarkar,JE Root,Shakib Al Hasan,JC Buttler,Mushfiqur Rahim,EJG Morgan,Mohammad Mithun,BA Stokes,Mahmudullah,CR Woakes,Mosaddek Hossain,LE Plunkett,Mohammad Saifuddin,JC Archer,Mehedi Hasan Miraz,AU Rashid,Mashrafe Mortaza,MA Wood,Mustafizur Rahman
9,4155,2019-06-09,Kennington Oval,London,Australia,India,1,bat,1,DA Warner,RG Sharma,AJ Finch,S Dhawan,SPD Smith,V Kohli,UT Khawaja,HH Pandya,GJ Maxwell,MS Dhoni,MP Stoinis,KL Rahul,AT Carey,KM Jadhav,NM Coulter-Nile,B Kumar,PJ Cummins,Kuldeep Yadav,MA Starc,YS Chahal,A Zampa,JJ Bumrah
